iter	Passed	Remaining
401	17087	25419
402	17128	25374
403	17170	25330
404	17212	25287
405	17253	25242
406	17293	25197
407	17336	25154
408	17378	25112
409	17420	25069
410	17462	25025
411	17503	24980
412	17544	24936
413	17585	24892
414	17627	24848
415	17668	24804
416	17710	24760
417	17752	24717
418	17794	24674
419	17836	24631
420	17878	24588
421	17919	24544
422	17961	24500
423	18004	24458
424	18045	24415
425	18086	24369
426	18128	24326
427	18170	24283
428	18212	24241
429	18254	24197
430	18298	24157
431	18340	24114
432	18383	24072
433	18426	24031
434	18470	23990
435	18514	23950
436	18558	23909
437	18599	23865
438	18642	23822
439	18681	23775
440	18720	23730
441	18763	23688
442	18804	23643
443	18846	23600
444	18889	23558
445	18930	23514
446	18972	23471
447	19012	23426
448	19053	23382
449	19098	23343
450	19140	23300
451	19181	23255
452	19222	23211
453	19263	23166
454	19304	23122
455	19345	23078
456	19387	23035
457	19430	22994
458	19472	22951
459	19512	22905
460	19553	22862
461	19592	22815
462	19632	22770
463	19673	22726
464	19714	22682
465	19756	22639
466	19795	22593
467	19838	22551
468	19880	22508
469	19922	22465
470	19964	22423
471	20007	22381
472	20046	22335
473	20087	22291
474	20127	22246
475	20168	22202
476	20207	22156
477	20247	22110
478	20289	22068
479	20328	22022
480	20368	21977
481	20408	21933
482	20450	21890
483	20493	21848
484	20532	21802
485	20571	21756
486	20610	21710
487	20649	21665
488	20688	21619
489	20728	21574
490	20768	21530
491	20809	21486
492	20851	21443
493	20891	21398
494	20930	21353
495	20971	21309
496	21010	21264
497	21049	21218
498	21091	21175
499	21129	21129
500	21172	21087
501	21211	21042
502	21252	20998
503	21293	20955
504	21333	20910
505	21373	20867
506	21414	20823
507	21453	20778
508	21493	20733
509	21533	20689
510	21573	20644
511	21612	20599
512	21652	20555
513	21692	20510
514	21731	20465
515	21772	20422
516	21816	20382
517	21858	20338
518	21897	20293
519	21937	20249
520	21977	20205
521	22020	20164
522	22061	20120
523	22102	20077
524	22142	20033
525	22182	19989
526	22222	19945
527	22262	19901
528	22301	19856
529	22340	19811
530	22381	19768
531	22421	19724
532	22461	19680
533	22505	19639
534	22550	19600
535	22593	19558
536	22632	19513
