iter	MultiClass
0	3.484291943
1	3.33674272422	3.19946774433	3.08623842444	2.98353578555	2.88837422666	2.80071587	77	2.72034338	88	2.6489349	299	2.58118410	110	2.52277111	111	2.46359612	112	2.40646913	113	2.35517614	114	2.30376615	115	2.25824616	116	2.20874617	117	2.17007718	118	2.12869519	119	2.08815320	220	2.05034021	221	2.01694122	222	1.98627223	123	1.95373824	24	1.926193625	25	1.894352426	26	1.870069427	27	1.845249728	28	1.818504129	29	1.79477013030	1.773702531	31	1.750184032	32	1.727304033	33	1.715810434	34	1.696478335	35	1.680672636	36	1.661994137	37	1.645711638	38	1.629337439339	1.611191740440	1.594379841441	1.580760142442	1.565797743443	1.552960844444	1.539637345445	1.52651364446	1.514842086
47	1.512780344848	1.499686549	49	1.488449350	50	1.475741551	51	1.465200552	52	1.45410253	153	1.44164654	154	1.43184455	55	1.421734556	56	1.411346157	1.434440503
58	1.425078043
59	1.415757773
60	1.405944282
61	1.402052081
62	1.392586117
63	63	1.36010664	164	1.352667665	65	1.34499266	166	1.33601667	167	1.32887468	168	1.32135969	169	1.31360970	170	1.30721971	171	1.30446372	172	1.29622273	173	1.28909574	74	1.282723775	75	1.275100776	76	1.268975377	77	1.262638078	78	1.255635579	79	1.249159380	80	1.243495681	81	1.238230482	82	1.232547383	83	1.226377884	84	1.221033885	85	1.215916786	86	1.20987287	187	1.20475688	188	1.19986089	189	1.195074777
90	1.190379649
91	1.189919031
92	1.185115279
93	1.18085906
94	1.176475089
95	1.17089881
96	1.165031843
97	1.159674295
98	1.154790571
99	1.150186789
100	1.146024444
101	1.141733259
102	1.13737474
103	1.133227561
104	1.128814616
105	1.124999831
106	1.120345727
107	1.115763931
108	1.112215277
109	1.107884457
110	1.104356527
111	1.100907104
112	1.097031927
113	1.09253265
114	1.08929706
115	1.084869484
116	1.081082804
117	1.077981216
118	1.074374062
119	1.070663386
120	1.067239403
121	1.063643129
122	1.059845891
123	1.056876471
124	1.053265148
125	1.049515421
126	1.045891962
127	1.042794261
128	1.039453036
129	1.036289712
130	1.033097926
131	1.030150883
132	1.026856342
133	1.023832007
134	1.021162017
135	1.018113857
136	1.01503569
137	1.011982596
138	1.009321055
139	1.006575375
140	1.003685241
141	1.00157952
142	0.999021392
143	0.9964452789
144	0.9938560784
145	0.9910115395
146	0.9887801827
147	0.9861713664
148	0.9836770678
149	0.9815058462
150	0.9790746078
151	0.9767698876
152	0.9746224402
153	0.9722907873
154	0.9700812097
155	0.9676863841
156	0.9653969489
157	0.9632213161
158	0.9609469732
159	0.9589311961
160	0.9567142047
161	0.9548043237
162	0.952636921
163	0.9508682385
164	0.9487336107
165	0.9469012874
166	0.9449601133
167	0.9430148905
168	0.940950482
169	0.939220982
170	0.9371529879
171	0.9354132087
172	0.9335515343
173	0.9319120304
174	0.9298482973
175	0.9279610064
176	0.9260586237
177	0.9242754153
178	0.922577685
179	0.9209241767
180	0.9192385831
181	0.9174497089
182	0.9157833736
183	0.9144818918
184	0.9129619323
185	0.9111175003
186	0.909364768
187	0.9080679223
188	0.9065524499
189	0.9049028299
190	0.9034068122
191	0.9018146115
192	0.9003516071
193	0.8987326893
194	0.8972157879
195	0.8955544032
196	0.894210439
197	0.8927761616
198	0.8913602603
199	0.8899584529
200	0.8885694439
201	0.887275882
202	0.8857857984
203	0.8844643799
204	0.8831625797
205	0.8817842118
206	0.8803757966
207	0.879095754
208	0.8777033941
209	0.8763439905
210	0.8750215152
211	0.8738294924
212	0.8726966195
213	0.8714786912
214	0.8703749629
215	0.8691589809
216	0.8679176817
217	0.866629931
218	0.8656051663
219	0.8644005417
220	0.8632605445
221	0.8621030093
222	0.861175414
223	0.8599147138
224	0.8586818986
225	0.8572823374
226	0.8560513951
227	0.8549594914
228	0.8539441619
229	0.852855191
230	0.851757197
231	0.8508790603
232	0.8497798289
233	0.8488031175
234	0.8476524342
235	0.846524848
236	0.8453686169
237	0.8443279587
238	0.8431639979
239	0.8419908644
240	0.8410010291
241	0.8400574869
242	0.8390644151
243	0.8380845555
244	0.8370552903
245	0.8360202208
246	0.8351697212
247	0.8342982834
248	0.8333113386
249	0.8322310597
250	0.8312411734
251	0.8301215931
252	0.8292785325
253	0.8284062972
254	0.827328893
255	0.8266087245
256	0.8257093952
257	0.8246476292
258	0.8237106317
259	0.8228059494
260	0.821895361
261	0.8210116085
262	0.8200934588
263	0.8192869758
264	0.8184434166
265	0.8175869361
266	0.8167644694
267	0.8159200258
268	0.8151204916
269	0.8142555138
270	0.8135096609
271	0.8128282416
272	0.8121264638
273	0.8115268595
274	0.8105927641
275	0.8098039563
276	0.8089261671
277	0.808257215
278	0.8075377229
279	0.8068523483
280	0.8060141669
281	0.805321845
282	0.8045980465
283	0.8039904792
284	0.8033267037
285	0.8025364799
286	0.8017231727
287	0.8010248765
288	0.8002860606
289	0.79957812
290	0.7988845525
291	0.7982508685
292	0.7975815837
293	0.7967812554
294	0.7960612086
295	0.7953008192
296	0.794640963
297	0.7939748791
298	0.7932693941
299	0.792725896
300	0.792090329
301	0.7915030763
302	0.7908733637
303	0.7902701412
304	0.789575385
305	0.7888893133
306	0.788238539
307	0.7875891335
308	0.7869963677
309	0.786368849
310	0.7857513203
311	0.7850567025
312	0.7845321312
313	0.7840064243
314	0.783332762
315	0.7828182189
316	0.7822458398
317	0.7816608611
318	0.7810399321
319	0.780460157
320	0.7798782047
321	0.7793851466
322	0.7789058486
323	0.7784037701
324	0.7779001825
325	0.7773792556
326	0.7768007177
327	0.7763522398
328	0.7759509931
329	0.7754822779
330	0.7750221933
331	0.7744920551
332	0.7739045219
333	0.7733717122
334	0.7727980378
335	0.7723725702
336	0.7719300085
337	0.7714538514
338	0.7710260168
339	0.7704973951
340	0.7698932599
341	0.7693728035
342	0.7689272777
343	0.7685334434
344	0.7680484574
345	0.7676500178
346	0.7672538352
347	0.7667704449
348	0.7662855973
349	0.7657884147
350	0.7653914929
351	0.7650188751
352	0.7646226786
353	0.764236999
354	0.763778367
355	0.7633344499
356	0.7629310612
357	0.7625441709
358	0.7620949207
359	0.7616832241
360	0.7612963186
361	0.7608142126
362	0.7603462211
363	0.7598597416
364	0.7594314389
365	0.7589659422
366	0.7585198924
367	0.7581453728
368	0.7576960158
369	0.7572370872
370	0.7566396374
371	0.7562702512
372	0.7557865486
373	0.7552847293
374	0.754852154
375	0.7544885304
376	0.7540280548
377	0.753665174
378	0.7533366706
379	0.7529867618
380	0.7526403633
381	0.7522426656
382	0.7518979203
383	0.7514919302
384	0.7511720767
385	0.7507798582
386	0.7504112827
387	0.7499684279
388	0.7495862569
389	0.7492291178
390	0.7488267812
391	0.7484438844
392	0.748125351
393	0.7477923956
394	0.7474018014
395	0.7470093433
396	0.7466980057
397	0.7464072944
398	0.7461218269
399	0.745729813
400	0.7454514341
401	0.7452139
402	0.7448478006
403	0.7444635992
404	0.7441279416
405	0.7437293922
406	0.7434580196
407	0.7431102607
408	0.7428488385
409	0.7424995918
410	0.7422199015
411	0.7418837687
412	0.7416655463
413	0.741313515
414	0.7410387728
415	0.7407688425
416	0.7405081985
417	0.7402269677
418	0.7398798143
419	0.7394897488
420	0.7391648831
421	0.7388282507
422	0.7385055362
423	0.7381384761
424	0.7379009929
425	0.7374848139
426	0.7370791479
427	0.7367522245
428	0.7363756133
429	0.7359860574
430	0.7356863576
431	0.7354241653
432	0.7351188085
433	0.7348258395
434	0.734589168
435	0.734334617
436	0.734104495
437	0.7337856474
438	0.7334985957
439	0.7332024191
440	0.7329238118
441	0.7325934065
442	0.7323737231
443	0.7321436043
444	0.731861889
445	0.731547118
446	0.731276636
447	0.7310407539
448	0.7308313491
449	0.7305881261
450	0.7302618304
451	0.7299324404
452	0.7296206096
453	0.7294185073
